3.6836 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
17.0582 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022EF5F36978>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022EF5F5DC88>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.0586 	EXP 	window1: mouseVisible = True
17.0587 	EXP 	window1: recordFrameIntervals = False
17.2224 	EXP 	window1: recordFrameIntervals = True
17.4059 	EXP 	window1: recordFrameIntervals = False
17.6999 	EXP 	Created new_trial_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='new_trial_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='New Trial', units='height', win=Window(...), wrapWidth=1)
17.7060 	EXP 	Created cross_shape = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='cross_shape', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.7934 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
17.7936 	EXP 	New trial (rep=0, index=0): None
17.8298 	EXP 	new_trial_text: autoDraw = True
17.8889 	EXP 	new_trial_text: autoDraw = False
18.7890 	EXP 	cross_shape: autoDraw = True
20.7887 	EXP 	cross_shape: autoDraw = False
21.2095 	DATA 	Keypress: b
21.8761 	DATA 	Keypress: b
22.7741 	EXP 	New trial (rep=1, index=0): None
22.7886 	EXP 	new_trial_text: autoDraw = False
22.7886 	EXP 	cross_shape: autoDraw = False
22.7886 	EXP 	new_trial_text: autoDraw = True
22.8718 	EXP 	new_trial_text: autoDraw = False
23.7719 	EXP 	cross_shape: autoDraw = True
25.7727 	EXP 	cross_shape: autoDraw = False
26.0620 	DATA 	Keypress: y
26.7459 	DATA 	Keypress: y
27.7621 	EXP 	New trial (rep=2, index=0): None
27.7748 	EXP 	new_trial_text: autoDraw = False
27.7748 	EXP 	cross_shape: autoDraw = False
27.7748 	EXP 	new_trial_text: autoDraw = True
27.8560 	EXP 	new_trial_text: autoDraw = False
28.7560 	EXP 	cross_shape: autoDraw = True
30.7555 	EXP 	cross_shape: autoDraw = False
31.0284 	DATA 	Keypress: g
31.3985 	DATA 	Keypress: g
32.7403 	EXP 	New trial (rep=3, index=0): None
32.7550 	EXP 	new_trial_text: autoDraw = False
32.7550 	EXP 	cross_shape: autoDraw = False
32.7550 	EXP 	new_trial_text: autoDraw = True
32.8383 	EXP 	new_trial_text: autoDraw = False
33.7383 	EXP 	cross_shape: autoDraw = True
35.7384 	EXP 	cross_shape: autoDraw = False
36.1307 	DATA 	Keypress: r
36.5622 	DATA 	Keypress: r
37.7269 	EXP 	New trial (rep=4, index=0): None
37.7379 	EXP 	new_trial_text: autoDraw = False
37.7379 	EXP 	cross_shape: autoDraw = False
37.7379 	EXP 	new_trial_text: autoDraw = True
37.8211 	EXP 	new_trial_text: autoDraw = False
38.7220 	EXP 	cross_shape: autoDraw = True
40.7210 	EXP 	cross_shape: autoDraw = False
42.7652 	EXP 	new_trial_text: autoDraw = False
42.7652 	EXP 	cross_shape: autoDraw = False
42.8766 	EXP 	window1: mouseVisible = True
